date,campaign_name,channel,spend,impressions,clicks,conversions,revenue,roas,ctr,conversion_rate,cost_per_conversion,target_audience
2023-01-05,Winter Sale,Facebook,5000,450000,15750,315,22050,4.41,3.50,2.00,15.87,General
2023-01-12,Winter Sale,Google Search,4500,195000,9750,390,27300,6.07,5.00,4.00,11.54,General
2023-01-19,Winter Sale,Instagram,3500,320000,9600,192,13440,3.84,3.00,2.00,18.23,Young Adults
2023-01-26,Winter Sale,Email,1200,85000,6800,340,23800,19.83,8.00,5.00,3.53,Existing Customers
2023-02-02,Product Launch,Facebook,6000,520000,18200,364,25480,4.25,3.50,2.00,16.48,General
2023-02-09,Product Launch,Google Search,5500,240000,12000,480,33600,6.11,5.00,4.00,11.46,General
2023-02-16,Product Launch,Instagram,4000,380000,11400,228,15960,3.99,3.00,2.00,17.54,Young Adults
2023-02-23,Product Launch,TikTok,3000,450000,13500,270,18900,6.30,3.00,2.00,11.11,Young Adults
2023-03-02,Spring Collection,Facebook,5500,500000,17500,350,24500,4.45,3.50,2.00,15.71,General
2023-03-09,Spring Collection,Google Search,5000,215000,10750,430,30100,6.02,5.00,4.00,11.63,General
2023-03-16,Spring Collection,Instagram,3800,350000,10500,210,14700,3.87,3.00,2.00,18.10,Young Adults
2023-03-23,Spring Collection,YouTube,4500,380000,11400,228,15960,3.55,3.00,2.00,19.74,General
2023-03-30,Spring Collection,Email,1500,95000,7600,380,26600,17.73,8.00,5.00,3.95,Existing Customers
2023-04-06,Flash Sale,Facebook,4000,380000,13300,266,18620,4.66,3.50,2.00,15.04,General
2023-04-13,Flash Sale,Google Search,3500,150000,7500,300,21000,6.00,5.00,4.00,11.67,General
2023-04-20,Flash Sale,Instagram,2800,260000,7800,156,10920,3.90,3.00,2.00,17.95,Young Adults
2023-04-27,Flash Sale,Email,1000,70000,5600,280,19600,19.60,8.00,5.00,3.57,Existing Customers
2023-05-04,Summer Essentials,Facebook,7000,650000,22750,455,31850,4.55,3.50,2.00,15.38,General
2023-05-11,Summer Essentials,Google Search,6500,270000,13500,540,37800,5.82,5.00,4.00,12.04,General
2023-05-18,Summer Essentials,Instagram,5000,450000,13500,270,18900,3.78,3.00,2.00,18.52,Young Adults
2023-05-25,Summer Essentials,TikTok,4000,600000,18000,360,25200,6.30,3.00,2.00,11.11,Young Adults
2023-06-01,Summer Essentials,YouTube,5500,480000,14400,288,20160,3.67,3.00,2.00,19.10,General
2023-06-08,Summer Essentials,Email,2000,120000,9600,480,33600,16.80,8.00,5.00,4.17,Existing Customers
2023-06-15,Clearance,Facebook,3500,320000,11200,224,15680,4.48,3.50,2.00,15.63,General
2023-06-22,Clearance,Google Search,3000,130000,6500,260,18200,6.07,5.00,4.00,11.54,General
2023-06-29,Clearance,Instagram,2500,230000,6900,138,9660,3.86,3.00,2.00,18.12,Young Adults
2023-07-06,Back to School,Facebook,8000,750000,26250,525,36750,4.59,3.50,2.00,15.24,Families
2023-07-13,Back to School,Google Search,7500,320000,16000,640,44800,5.97,5.00,4.00,11.72,Families
2023-07-20,Back to School,Instagram,6000,540000,16200,324,22680,3.78,3.00,2.00,18.52,Young Adults
2023-07-27,Back to School,TikTok,5000,750000,22500,450,31500,6.30,3.00,2.00,11.11,Young Adults
2023-08-03,Back to School,YouTube,6500,580000,17400,348,24360,3.75,3.00,2.00,18.68,Families
2023-08-10,Back to School,Email,3000,150000,12000,600,42000,14.00,8.00,5.00,5.00,Existing Customers
2023-08-17,Fall Preview,Facebook,6500,600000,21000,420,29400,4.52,3.50,2.00,15.48,General
2023-08-24,Fall Preview,Google Search,6000,260000,13000,520,36400,6.07,5.00,4.00,11.54,General
2023-08-31,Fall Preview,Instagram,4500,410000,12300,246,17220,3.83,3.00,2.00,18.29,Young Adults
2023-09-07,Fall Preview,YouTube,5000,420000,12600,252,17640,3.53,3.00,2.00,19.84,General
